8,19,35
17,46,96
10,56,94
48,54,87
5,23,43
24,27,47
7,35,47
51,59,82
24,79,94
3,58,94
5,67,91
21,41,43
39,59,99
50,58,91
28,91,94
30,47,79
11,24,63
7,79,94
27,30,90
5,19,50
7,11,39
51,58,94
18,27,39
21,22,65
28,35,49
19,35,91
9,12,33
13,45,59
3,59,67
23,63,94
2,21,72
29,37,63
11,91,94
11,51,58
11,35,50
3,10,67
23,28,29
29,67,91
29,37,99
27,59,94
5,19,27
45,57,86
5,11,23
10,20,45
79,82,91
7,8,47
21,22,42
5,11,59
23,39,43
24,28,82
0,20,92
4,21,78
10,19,58
8,37,51
5,86,94
37,67,94
23,37,91
37,59,90
0,21,29
24,37,59
27,90,94
59,63,90
3,5,50
10,24,28
42,45,64
39,43,86
28,35,39
11,49,82
10,27,39
14,72,95
10,19,35
26,45,96
41,55,89
44,76,85
25,45,65
18,63,67
7,37,59
63,83,94
28,30,45
3,91,94
22,45,47
24,43,79
5,59,90
29,30,50
43,49,79
18,35,90
6,40,45
2,26,32
5,29,67
19,35,58
18,37,50
23,59,91
10,45,64
5,10,90
9,21,85
51,91,94
30,39,83
3,19,83
18,28,86
5,37,43
43,56,59
17,60,95
19,58,83
7,27,28
50,79,94
35,51,83
31,53,71
24,37,49
23,47,94
3,35,63
49,51,63
7,19,23
11,24,43
17,60,72
15,52,75
3,10,11
15,31,52
15,44,71
7,47,63
29,37,43
27,37,50
5,18,43
18,58,91
7,24,79
28,59,99
5,24,86
11,29,99
3,50,83
28,30,35
29,51,63
47,50,82
8,47,67
13,21,68
50,63,99
7,10,37
7,29,50
30,49,82
23,28,94
19,50,91
58,91,94
10,43,94
63,86,94
51,56,90
43,59,82
43,67,86
8,27,94
35,39,90
2,21,29
50,56,59
10,37,50
23,29,58
4,21,22
37,43,90
8,30,99
11,59,99
67,79,83
63,79,91
39,47,59
24,50,86
35,47,67
23,51,82
15,25,71
3,23,43
21,29,39
5,7,10
5,39,79
18,23,83
31,75,80
5,24,99
36,76,98
2,13,66
24,43,82
43,58,94
27,51,83
4,16,64
18,24,47
2,28,45
7,50,86
7,29,63
24,51,59
2,6,26
0,12,45
18,24,83
43,51,91
30,39,50
3,19,50
23,50,94
21,65,82
5,43,90
5,35,86
5,39,56
3,19,86
14,65,72
60,81,96
10,51,83
46,65,72
23,43,91
4,21,31
21,30,60
56,59,79
24,43,59
10,21,60
7,58,67
9,21,29
0,40,84
18,28,30
8,20,45
8,79,94
7,35,56
5,35,63
8,39,58
21,22,97
44,75,77
8,23,50
19,28,35
10,47,90
10,39,86
63,82,86
3,59,99
21,26,67
49,59,91
19,58,63
27,47,67
47,51,94
19,82,91
8,56,83
4,22,98
37,39,51
1,72,81
5,49,82
39,50,59
5,28,59
19,50,58
35,50,67
24,56,91
44,52,71
5,50,83
34,62,97
39,43,56
5,8,86
49,56,94
10,47,67
30,51,94
3,30,49
60,72,81
28,35,94
31,71,77
5,47,50
9,12,78
18,39,58
3,8,30
8,35,37
39,79,94
21,26,80
10,27,94
28,59,79
16,22,93
27,28,30
49,79,82
8,37,83
35,49,79
23,47,51
24,43,49
18,23,86
5,30,82
0,21,61
0,40,74
31,45,60
24,37,91
5,8,63
18,24,50
21,33,97
29,50,83
52,71,80
23,30,83
23,91,99
7,43,50
4,27,45
49,86,99
5,8,99
10,28,67
25,31,77
21,26,57
5,24,43
2,21,94
35,45,86
3,8,43
7,45,95
14,45,60
7,37,91
25,44,52
5,30,59
23,28,51
45,58,67
34,73,97
9,38,85
11,16,45
28,39,82
35,39,47
8,59,83
